Samples	Genome	Culture	Population	Note
1_S1	B11221	NA	F	Parent
2_S2	B8441	NA	F	Parent
3_S3	B11221	E18	F	DMSO
4_S4	B11221	F18	F	DMSO
5_S5	B8441	K18	F	DMSO
6_S6	B8441	L18	F	DMSO
7_S7	B11221	A8	T	CQ
8_S8	B11221	B8	T	CQ
9_S9	B11221	A31	T	CQ
10_S10	B11221	A31	F	CQ
11_S11	B11221	A31	F	CQ
12_S12	B11221	B31	T	CQ
13_S13	B11221	B31	F	CQ
14_S14	B11221	B31	F	CQ
16_S16	B8441	H8	T	CQ
17_S17	B8441	H12	T	CQ
18_S18	B8441	H20	T	CQ
23_S22	B8441	H31	T	CQ
24_S23	B8441	H31	F	CQ
25_S24	B8441	H31	F	CQ
32_S25	B11221	C18	T	TCA
35_S26	B11221	D18	T	TCA
38_S27	B8441	I18	T	TCA
41_S28	B8441	J18	T	TCA
52_S29	B11221	E18	T	DMSO
53_S30	B11221	F18	T	DMSO
54_S31	B8441	K18	T	DMSO
55_S32	B8441	L18	T	DMSO
